lot_0,acid_1,acid_mn_2,acid_mp_3,acid_pdi_4,acid_ls_5,scale_6,eda_7,edc_8,nhs_9,time_10,solvent_11,temp_12,amine_mn_13,amine_mp_14,amine_pdi_15,LS_16,fgi_LS_17,dMn_18,dLS_19,time_dummy_20,scale_dummy_21,yield_SK3,yield_UCHT1,yield_53_67,MFI_SK3,SK3_agg,MFI_UCHT1,UCHT1_agg,MFI_53_67,53_67_agg
,D2555,57,100,1.77,196,50,2000,100,200,24,ACN,4,,,,21,,,,1,0,,,,,,,,,
,D2542,54.2,101,1.85,165,50,2000,800,200,24,ACN,4,,,,114,,,,1,0,,,,,,,,,
,D2542,54.2,101,1.85,165,50,2000,500,200,24,ACN,4,,,,86,,,,1,0,,,,,,,,,
,1633,59,114,1.98,197,50,2000,650,200,24,ACN,4,63,117,1.83,127,,,,1,0,,,,,,,,,
,1633,59,114,1.98,197,50,2000,800,200,24,ACN,4,64,120,1.82,141,,,,1,0,,,,,,,,,
,D2569,55,94,1.68,165,50,2000,800,200,24,ACN,4,,,,142,,,,1,0,,,,,,,,,
,D2577,52,94,1.75,186,50,2000,800,200,24,ACN,4,,,,141,,,,1,0,,,,,,,,,
,D2577,52,94,1.75,186,50,2000,650,200,24,ACN,4,,,,131,,,,1,0,,,,,,,,,
,D2555,57,100,1.77,196,3700,2000,400,200,24,ACN,4,60,102,1.68,88,,,,1,1,,,,,,,,,
,D2632,54,78,1.39,127,50,2000,500,200,24,ACN,4,,,,90,,,,1,0,,,,,,,,,
D2613,D2593,54,74,1.44,140,50,2000,500,200,24,ACN,4,,,,87,,,,1,0,,,,,,,,,
D2614,D2593,54,74,1.44,140,50,2000,800,200,24,ACN,4,,,,110,,,,1,0,,,,,,,,,
D2672,D2656,56,97,1.6,175,50,2000,400,200,24,ACN,4,58,96,1.79,79,,,,1,0,,,,,,,,,
D2673,D2656,56,97,1.6,175,50,2000,500,200,24,ACN,4,57,92,1.79,91,,,,1,0,,,,,,,,,
D2674,D2656,56,97,1.6,175,50,2000,650,200,24,ACN,4,58,93,1.77,106,,,,1,0,,,,,,,,,
D2675,D2656,56,97,1.6,175,50,2000,800,200,24,ACN,4,58,95,1.78,120,,,,1,0,,,,,,,,,
